Corruption Type,Mode,Metric,Mean,Std,SEM,N
sinusoidal,corrupted,chroma_cos_sim,0.907433277270833,0.09407249850816653,0.012044749196477654,61
sinusoidal,corrupted,mfcc_dist,113.125663100696,79.79004652704965,10.21606860702404,61
sinusoidal,corrupted,peaq_nmr_db,-0.018832168893003074,6.156858564418946,0.7883049607763309,61
sinusoidal,corrupted,fad,15.789477560942972,2.64987420842306,0.3747488044134561,50
sinusoidal,reconstructed,chroma_cos_sim,0.9137717612454148,0.08562979732659665,0.010963772078983672,61
sinusoidal,reconstructed,mfcc_dist,72.866458111122,64.5661526515285,8.266848734772788,61
sinusoidal,reconstructed,peaq_nmr_db,-0.17501820367379267,4.271170237593932,0.546867310883773,61
sinusoidal,reconstructed,fad,10.887315986583216,1.7293554522514922,0.24456779347379176,50
tape_wow_flutter,corrupted,chroma_cos_sim,0.93423472467016,0.05071625499410694,0.006493551051326606,61
tape_wow_flutter,corrupted,mfcc_dist,30.74896162064349,13.6056311960379,1.7420225678583685,61
tape_wow_flutter,corrupted,peaq_nmr_db,2.2762499656833586,1.4100282955505141,0.18053562357938716,61
tape_wow_flutter,corrupted,fad,38.3422580723437,5.111754913833479,0.7229113126670617,50
tape_wow_flutter,reconstructed,chroma_cos_sim,0.939999475830891,0.0396526317988369,0.005076999256651013,61
tape_wow_flutter,reconstructed,mfcc_dist,17.33307885341957,8.729119579641075,1.1176492355383958,61
tape_wow_flutter,reconstructed,peaq_nmr_db,1.3429375889359927,1.429813897021487,0.18306891025932623,61
tape_wow_flutter,reconstructed,fad,14.849075796236868,2.4467097535960245,0.3460170116726031,50
soft_clip_rms,corrupted,chroma_cos_sim,0.9846207704700407,0.011644653444780146,0.001490945094969499,61
soft_clip_rms,corrupted,mfcc_dist,105.47209342581327,26.780095275605085,3.428839843394163,61
soft_clip_rms,corrupted,peaq_nmr_db,-5.036984252147987,1.2976781203296501,0.16615065768419357,61
soft_clip_rms,corrupted,fad,21.19339844982017,3.7479312280468773,0.5300375173545543,50
soft_clip_rms,reconstructed,chroma_cos_sim,0.9843677243248361,0.01228962183610221,0.0015735248354497155,61
soft_clip_rms,reconstructed,mfcc_dist,41.35292800528104,20.040767686711533,2.565957366066546,61
soft_clip_rms,reconstructed,peaq_nmr_db,-4.802079681490288,1.4666100616889475,0.18778017637684494,61
soft_clip_rms,reconstructed,fad,7.710571779903107,0.9891587490607368,0.1398881718261699,50
